query_type,system,queries,ndcg_at_10,map,map_at_10,p_at_5,p_at_10,recall_at_10,mrr,mrr_at_10
textual,solo_ocr,5,0.8343595428689639,0.7327277767382256,0.5816666666666667,0.64,0.54,0.8333333333333334,0.8,0.8
textual,solo_vlm,5,0.9002833960273005,0.8744299114652965,0.7197539682539682,0.5599999999999999,0.5,0.8133333333333332,0.9,0.9
textual,ocr_vlm,5,0.9714409711927725,0.9776949372436988,0.8091111111111111,0.6799999999999999,0.5,0.8133333333333332,1.0,1.0
textual,ocr_vlm_hybrid_full,5,0.8611474678804921,0.8175630905879391,0.670420634920635,0.56,0.4600000000000001,0.6799999999999999,1.0,1.0
textual,ocr_vlm_hybrid_segmented,5,0.938591309465234,0.9039298557367612,0.7433769841269842,0.64,0.5,0.8133333333333332,1.0,1.0
textual,bm25_ocr,5,0.6842948973726392,,0.5291111111111111,0.4,0.38,0.6633333333333333,,0.7
textual,bm25_fusion,5,0.9872758423602097,,0.8233333333333333,0.6799999999999999,0.52,0.8233333333333333,,1.0
textual,clip_zeroshot,5,0.5874354673139368,,0.36323809523809525,0.48,0.27999999999999997,0.4766666666666667,,0.9
aggregate,solo_ocr,15,0.3688184426234633,0.3459297790561418,0.22934126984126985,0.28,0.2533333333333333,0.39685185185185184,0.42201416122004354,0.41074074074074074
aggregate,solo_vlm,15,0.6296640401988076,0.5905739686522921,0.47362610229276897,0.4266666666666667,0.35333333333333333,0.6218518518518519,0.6793650793650793,0.6777777777777777
aggregate,ocr_vlm,15,0.6103369560870181,0.5697862710389674,0.4414065255731922,0.4,0.34,0.6198148148148148,0.7235827664399093,0.7222222222222222
aggregate,ocr_vlm_hybrid_full,15,0.6759234063179899,0.620230824428818,0.512979570840682,0.4666666666666667,0.36666666666666664,0.6720370370370371,0.7480272108843538,0.7466666666666666
aggregate,ocr_vlm_hybrid_segmented,15,0.727459990031388,0.7069703326724056,0.6026838624338624,0.5466666666666666,0.38,0.6511111111111111,0.8432234432234432,0.8333333333333334
aggregate,bm25_ocr,15,0.380739565222392,,0.26687037037037037,0.26666666666666666,0.24000000000000002,0.42888888888888893,,0.36000000000000004
aggregate,bm25_fusion,15,0.7075188350799183,,0.5944735449735449,0.5333333333333333,0.35333333333333333,0.6224074074074074,,0.8
aggregate,clip_zeroshot,15,0.5304054856592302,,0.37072751322751324,0.41333333333333333,0.29333333333333333,0.504074074074074,,0.6966666666666667
iconografica_simple,solo_ocr,5,0.18667759879983475,0.20194248717090243,0.06913492063492063,0.16,0.16,0.23500000000000001,0.32472222222222225,0.31222222222222223
iconografica_simple,solo_vlm,5,0.48514486511523736,0.413645663564547,0.2875,0.44000000000000006,0.4,0.46333333333333326,0.6333333333333333,0.6333333333333333
iconografica_simple,ocr_vlm,5,0.4660018269673218,0.41611974711058713,0.2620661375661376,0.36,0.33999999999999997,0.43499999999999994,0.7333333333333333,0.7333333333333333
iconografica_simple,ocr_vlm_hybrid_full,5,0.6682960809240697,0.5944044920688626,0.47499074074074077,0.5599999999999999,0.42000000000000004,0.625,0.85,0.85
iconografica_simple,ocr_vlm_hybrid_segmented,5,0.7048463919732352,0.64637045666977,0.5669761904761905,0.6799999999999999,0.42000000000000004,0.6066666666666667,0.9,0.9
iconografica_simple,bm25_ocr,5,0.37178848667985814,,0.22149999999999997,0.36,0.32,0.42333333333333334,,0.32999999999999996
iconografica_simple,bm25_fusion,5,0.629176047496513,,0.5061984126984127,0.6,0.36,0.5549999999999999,,0.8
iconografica_simple,clip_zeroshot,5,0.4838374159099567,,0.28267460317460313,0.44000000000000006,0.38,0.53,,0.5900000000000001
iconografica_relacional,solo_ocr,5,0.08541818620159121,0.10311907325929728,0.03722222222222222,0.04,0.06000000000000001,0.12222222222222223,0.1413202614379085,0.12
iconografica_relacional,solo_vlm,5,0.503563859453885,0.4836463309270327,0.4136243386243386,0.27999999999999997,0.16,0.5888888888888889,0.5047619047619047,0.5
iconografica_relacional,ocr_vlm,5,0.39356807010095995,0.3155441287626161,0.25304232804232807,0.16,0.18,0.611111111111111,0.43741496598639457,0.4333333333333333
iconografica_relacional,ocr_vlm_hybrid_full,5,0.4983266701494081,0.4487248906296525,0.3935273368606702,0.27999999999999997,0.22000000000000003,0.711111111111111,0.39408163265306123,0.39
iconografica_relacional,ocr_vlm_hybrid_segmented,5,0.5389422686556948,0.5706106856106856,0.4976984126984127,0.32,0.22000000000000003,0.5333333333333333,0.6296703296703297,0.6
iconografica_relacional,bm25_ocr,5,0.0861353116146786,,0.05,0.04,0.02,0.2,,0.05
iconografica_relacional,bm25_fusion,5,0.5061046153830322,,0.4538888888888889,0.32,0.18,0.48888888888888893,,0.6
iconografica_relacional,clip_zeroshot,5,0.519943573753797,,0.4662698412698413,0.32,0.21999999999999997,0.5055555555555555,,0.6
